dataset,method,run_id,n_tasks,accuracy_all_avg,accuracy_seen_avg,accuracy_final,forward_transfer,backward_transfer,ece_all_avg,ece_seen_avg,ece_final,ace_all_avg,ace_seen_avg,ace_final,sce_all_avg,sce_seen_avg,sce_final,brier_all_avg,brier_final,duration_s
cifar100,ball,00,10,0.3139299750328064,0.6375824213027954,0.5006999969482422,0.0,-0.13566666841506958,0.28930309986121955,0.04586159138228448,0.04761969245523215,0.009015250439099527,0.00011214052034667899,0.00010987401402695128,0.007909711663818358,0.0008663091634159998,0.0008769085998535163,0.967268589129642,0.6451799154839957,3003.21091679018
cifar100,ball,01,10,0.31929999589920044,0.6459277868270874,0.5090000033378601,0.0,-0.13215555250644684,0.29052895971894266,0.04608097084606923,0.055605560970306396,0.009019513761184253,0.00012545794923980133,0.000211363385616569,0.007949302709960937,0.0008483038894547357,0.0010392608947753902,0.9629960721112768,0.6387645401379465,2984.101573532447
cifar100,ball,02,10,0.3243899941444397,0.651923418045044,0.523699939250946,0.0,-0.12557777762413025,0.27501470268744976,0.03594221908167656,0.032728151478245864,0.009010664906187385,0.00010038080189623776,0.00010204421781375889,0.007754912350463867,0.0006558702830738492,0.0006060337524414067,0.9479032876547111,0.6231036553186681,2963.0883301673457
cifar100,ball,03,10,0.3158800005912781,0.6373568773269653,0.5056000351905823,0.0,-0.12646666169166565,0.288994543818757,0.04849118354189136,0.04666119234189393,0.009025597601471137,0.00017483608533909364,0.00019660214052558795,0.007952222250366212,0.0008916639379077485,0.0008671260375976557,0.9649618610150771,0.6369581839924627,3000.612131886184
cifar100,ball,04,10,0.31891000270843506,0.642433226108551,0.5085999965667725,0.0,-0.1275777816772461,0.28301113838944586,0.04282751298912446,0.04582524574398993,0.009007972607436774,8.860343003195401e-05,9.600614623818529e-05,0.007812073120117185,0.000763099376062363,0.000847740447998047,0.9600852502181662,0.6375832691029656,2997.465305767022
cifar100,clora,00,10,0.3039100170135498,0.6237533688545227,0.46929997205734253,0.0,-0.31308889389038086,0.25536042945370074,0.028501302004092864,0.03910624287128449,0.00902449189750406,0.000176216878034022,0.0004328884197212768,0.007357502642822267,0.0005708220359635732,0.0007927489013671877,0.9529993678245837,0.680869290653127,2044.2342981509864
cifar100,clora,01,10,0.3043400049209595,0.6274675130844116,0.4618000090122223,0.0,-0.3081111013889313,0.2507030448964238,0.02701747121334195,0.03398230750262737,0.009022573975187003,0.0002194597186984494,0.0004227046232223525,0.0073212946411132795,0.000580071806567056,0.0006841878967285155,0.9523301709366224,0.6820609465139996,2076.5796285988763
cifar100,clora,02,10,0.30257001519203186,0.6237444281578064,0.47040000557899475,0.0,-0.3087333142757416,0.2579699842696637,0.029265209084922778,0.03020086621791124,0.00902005393105419,0.00019543319087747085,0.00037317933840304665,0.007405507263183593,0.0005231469639066667,0.0007046042480468753,0.9590176233409704,0.6735448618105494,2090.910778487101
cifar100,clora,03,10,0.3063899874687195,0.6281027793884277,0.4788999557495117,0.0,-0.3114444613456726,0.25920518638510265,0.02585920730627466,0.028421580988168726,0.009033066851667089,0.00016535450259948752,0.0004867635337002583,0.007429090585327149,0.00048853685383721,0.000597896942138672,0.9551187341905175,0.6662054607720673,2079.8401662083343
cifar100,clora,04,10,0.3031100034713745,0.6286383867263794,0.4691999852657318,0.0,-0.3236444592475891,0.2597789969846606,0.027841243828350588,0.029578612482547752,0.009025073661436924,0.00013565086588339468,0.00038037639329209993,0.007489374758911133,0.000507395636622111,0.0007042421264648437,0.9594984116668959,0.6778827531288093,2037.3703163536265
