dataset,method,run_id,task,accuracy_all,accuracy_seen,ace_all,ace_seen,brier_all,ece_all,ece_seen,sce_all,sce_seen
cifar100,linear,2917080_4,6,0.5067,0.72385705,0.005972029615049688,3.409755366719363e-05,0.6914702973923044,0.18074346618652343,0.02598528391974316,0.004917955780029296,0.0004426748221261166
cifar100,linear,2917080_4,7,0.5608,0.70100003,0.0039698008856647055,5.8777322187343777e-05,0.6074118083035536,0.12909914917945864,0.025261374294757836,0.0033260972595214842,0.0004309193611145022
cifar100,linear,2917080_4,8,0.6196,0.68844444,0.0019913631928700484,3.26354166006787e-05,0.5171230796180811,0.07334891710132359,0.027855155572295214,0.0017544529724121095,0.00045424092610677126
cifar100,linear,2917080_4,9,0.66850007,0.66850007,3.92652086945317e-05,3.92652086945317e-05,0.441696291656227,0.028633088588714627,0.028633088588714627,0.0005049519958496097,0.0005049519958496097
cifar100,linear,2917092_2,0,0.095300004,0.953,0.01745870038430812,7.136205191534309e-06,1.4119351956607458,0.6068670656740665,0.019608426570892356,0.016330565704345705,0.0002694668149948122
cifar100,linear,2917092_2,1,0.1758,0.87899995,0.01574693526877393,1.6354259730605627e-05,1.2369091055351025,0.5006872836112977,0.018369721531867958,0.0141331201171875,0.0002955742549896237
cifar100,linear,2917092_2,2,0.25149998,0.8383333,0.013842053811490215,1.7659540109883157e-05,1.0809207743312632,0.405435206836462,0.019808436711629258,0.011925213012695312,0.00028958875020345076
cifar100,linear,2917092_2,3,0.3218,0.8045,0.011902295607449662,3.0034915057117553e-05,0.9780338233485496,0.3508395867347718,0.0200959289819002,0.01005473211669922,0.00026979698181152335
cifar100,linear,2917092_2,4,0.38659996,0.7732,0.009906320956074719,3.240557252275137e-05,0.8712024592949495,0.28664327507019044,0.01696392953991887,0.00820881539916992,0.0003206981811523435
cifar100,linear,2917092_2,5,0.442,0.7366667,0.007937191660560958,5.118814333949571e-05,0.7799583976997543,0.23536767246723178,0.02491872786482173,0.0066660199279785165,0.0004572626495361327
cifar100,linear,2917092_2,6,0.5019,0.71699995,0.005957689389486827,2.6386497113002026e-05,0.698637902454741,0.1902044529438019,0.02999746629170006,0.005095828552246093,0.0005313537815638947
cifar100,linear,2917092_2,7,0.55550003,0.69437504,0.0039630768729882835,1.4966815300321997e-05,0.6139491682275715,0.13858359036445617,0.03169537830352785,0.0034915184936523437,0.0005576418876647951
cifar100,linear,2917092_2,8,0.6117,0.6796667,0.0019770657499869706,2.8627481541673912e-05,0.5247828665974587,0.0834188422203064,0.0325833905008104,0.0019110569458007814,0.0005885918511284722
cifar100,linear,2917092_2,9,0.6621001,0.6621001,5.2041102341580786e-05,5.2041102341580786e-05,0.44858775331119033,0.03526158981323243,0.03526158981323243,0.0006618907165527346,0.0006618907165527346
cifar100,linear,2916795_0,0,0.0946,0.946,0.017549717319880847,5.727647385681217e-06,1.4179274154215817,0.6111000308752059,0.011685226082801847,0.01645047802734375,0.0002304479455947879
cifar100,linear,2916795_0,1,0.17520002,0.87600005,0.01578473525875836,3.858412026664343e-06,1.2481946043538064,0.5096939015835524,0.013873894155025525,0.014205750122070312,0.0002082959842681888
cifar100,linear,2916795_0,2,0.2488,0.8293333,0.013885632786779721,1.4786580092030286e-05,1.094510216692312,0.4182175895869732,0.022721585343281395,0.012021954864501954,0.00038725434621175107
cifar100,linear,2916795_0,3,0.3183,0.79575,0.011906694600637594,6.571937341022515e-06,0.9859057653624251,0.35804243258237844,0.019703637957572885,0.010120790130615235,0.0003689687156677241
cifar100,linear,2916795_0,4,0.38529998,0.77059996,0.00990509079219267,1.4499538637327039e-05,0.8741072709736168,0.2869586430549622,0.012755226039886495,0.008243351165771485,0.00019976901245117218
cifar100,linear,2916795_0,5,0.44049996,0.7341666,0.007948831001250205,2.067887755369146e-05,0.7759851871524871,0.22904758467674255,0.02970876049995421,0.006541859863281249,0.0004661872863769533
cifar100,linear,2916795_0,6,0.5025,0.7178572,0.005981762016208552,1.893075007499531e-05,0.692701437104832,0.1822440859794617,0.027528953824724492,0.004947400360107424,0.000460257808140346
cifar100,linear,2916795_0,7,0.55869997,0.698375,0.00398198834680504,3.724901920792116e-05,0.6105880067991306,0.13060764756202697,0.030925882339477552,0.0033540051879882805,0.000513447322845459
