dataset,method,run_id,n_tasks,accuracy_all_avg,accuracy_final,accuracy_seen_avg,ace_all_avg,ace_final,ace_seen_avg,backward_transfer,brier_all_avg,brier_final,ece_final,ece_seen_avg,ece_all_avg,forward_transfer,sce_all_avg,sce_final,sce_seen_avg,asce_final
cifar100,lora,2917143_4,10,0.3936300277709961,0.5909000635147095,0.7719336748123169,0.008975848118742009,0.0008085410886943271,0.0002434334287671135,-0.30482223629951477,0.9332291764225292,0.6096175424769188,0.19261791591644284,0.08762572269768085,0.3663419658210873,0.0,0.008959776766967773,0.003936557647705078,0.0017501870878092827,0.0039378134460449216
domainnet,rwalk,2988275_0,5,0.44824713468551636,0.7069455981254578,0.772861897945404,0.002256926047470971,3.069185034715877e-05,1.5347172839649623e-05,-0.0734754279255867,0.7550893734894013,0.3962295713407857,0.02122603759599887,0.014067905181053391,0.20936246492530358,0.0,0.0016925107772137907,0.00011610353086050568,6.253201507171535e-05,0.00011629541585628076
domainnet,rwalk,2988370_1,5,0.44727104902267456,0.7041219472885132,0.7715688347816467,0.0022414318819186365,3.597299202303242e-05,1.6752026011280066e-05,-0.07496954500675201,0.7546637898139565,0.39803476105178076,0.024524133778674545,0.014981741206939719,0.20928974802855863,0.0,0.0016877395291191282,0.0001394235251426228,6.950339792442087e-05,0.00013921694435028447
domainnet,rwalk,2964434_4,5,0.4486114978790283,0.70818692445755,0.773712694644928,0.00223920180814474,3.7015694492508204e-05,2.011305883786866e-05,-0.07131855189800262,0.7544298284128207,0.39302585263724743,0.02167884606160546,0.014559699044434545,0.21068162639890775,0.0,0.0016959295734064804,0.00012991740836009372,7.137009172215606e-05,0.0001302605581339685
domainnet,rwalk,2988468_2,5,0.4477633833885193,0.70588219165802,0.7720638513565063,0.0022469133475638723,2.8585596598926584e-05,1.9173192302305e-05,-0.06863108277320862,0.7574023377016349,0.3962850162856922,0.021569875614614563,0.013755850154082117,0.21285960468243056,0.0,0.0017177288334599065,0.00011701292830679361,6.733980840766969e-05,0.00011684875980055741
domainnet,rwalk,2988776_3,5,0.44789379835128784,0.7062159776687622,0.772141695022583,0.002252987894378681,3.3083957419277236e-05,1.708393860057325e-05,-0.06558718532323837,0.7559923327437573,0.3957541170340846,0.02242968690479518,0.014872465400233171,0.21158215852178497,0.0,0.001712229886112713,0.00012578283079650902,7.463121942207599e-05,0.0001258192528119256
domainnet,lora,2967970_3,5,0.42594724893569946,0.6502359509468079,0.7447589635848999,0.00224399560581538,3.7904037580083876e-05,1.9130415985828637e-05,-0.17133933305740356,0.7773954904977148,0.46592782428727114,0.026100933367419393,0.014758871174433013,0.20730691876621576,0.0,0.0016830440165932123,0.00015615910495264895,7.657451951664944e-05,0.00015626040485789653
domainnet,lora,2966699_0,5,0.4235747456550598,0.6473909020423889,0.7416445016860962,0.002250118522840954,6.202261524221129e-05,2.5767464919459873e-05,-0.18316414952278137,0.7786384292204077,0.4664092470847211,0.02911395206493301,0.015982221166401012,0.20782659757655506,0.0,0.0016802310640128056,0.00017437748144582082,8.696400351284437e-05,0.00017415977646182578
domainnet,lora,2964428_4,5,0.425508588552475,0.6515399813652039,0.7441422343254089,0.0022335172540096267,4.580847890637963e-05,2.406031631875987e-05,-0.16983601450920105,0.777798092098785,0.4609920245161137,0.02600520073330272,0.01402064804769548,0.20900586240167915,0.0,0.001686339968792765,0.00016254698089929694,7.97853276304147e-05,0.0001627640927044653
domainnet,lora,2966744_1,5,0.42274266481399536,0.6408503651618958,0.7399488091468811,0.0022373698950001854,6.316524029703906e-05,2.7887986586565054e-05,-0.1815134733915329,0.7812261291015946,0.47409058898730116,0.03264803498084762,0.017958069181716867,0.21094591215533298,0.0,0.0016991350315809874,0.00019801839800507773,0.00010457316127105942,0.00019795678259879312
