dataset,method,run_id,bin,bin_probability,bin_frequency,bin_weight
cifar100,replay,2925045_1,6,0.43479571426123903,0.3991228070175439,0.0228
cifar100,replay,2925045_1,7,0.5006019069723887,0.4191780821917808,0.0365
cifar100,replay,2925045_1,8,0.5665703258295168,0.5201149425287356,0.0348
cifar100,replay,2925045_1,9,0.633658882036601,0.5287671232876713,0.0365
cifar100,replay,2925045_1,10,0.6996634232370477,0.5921052631578947,0.038
cifar100,replay,2925045_1,11,0.7678133619764138,0.6575052854122622,0.0473
cifar100,replay,2925045_1,12,0.8350999810722437,0.6779026217228464,0.0534
cifar100,replay,2925045_1,13,0.9036799526670903,0.7906698564593302,0.0836
cifar100,replay,2925045_1,14,0.9884104795659178,0.9558896415000826,0.6053
cifar100,ball,2917144_4,0,0.0,0.0,0.0
cifar100,ball,2917144_4,1,0.1076812744140625,0.125,0.0008
cifar100,ball,2917144_4,2,0.17473895733173078,0.10256410256410256,0.0039
cifar100,ball,2917144_4,3,0.2362843983208955,0.21641791044776118,0.0134
cifar100,ball,2917144_4,4,0.30537799873737376,0.35353535353535354,0.0198
cifar100,ball,2917144_4,5,0.3684743961817782,0.3732394366197183,0.0284
cifar100,ball,2917144_4,6,0.43365960809775206,0.40054495912806537,0.0367
cifar100,ball,2917144_4,7,0.500294207518499,0.507399577167019,0.0473
cifar100,ball,2917144_4,8,0.5651773058412447,0.5632911392405063,0.0474
cifar100,ball,2917144_4,9,0.6346974927325582,0.6492248062015504,0.0516
cifar100,ball,2917144_4,10,0.7015413851351351,0.6507276507276507,0.0481
cifar100,ball,2917144_4,11,0.768589504076087,0.7617391304347826,0.0575
cifar100,ball,2917144_4,12,0.8352724153553748,0.8288543140028288,0.0707
cifar100,ball,2917144_4,13,0.902490840935559,0.9078674948240165,0.0966
cifar100,ball,2917144_4,14,0.9841426116445166,0.9746755964838845,0.4778
cifar100,ball,2919942_0,0,0.0,0.0,0.0
cifar100,ball,2919942_0,1,0.11363525390625,0.0,0.0005
cifar100,ball,2919942_0,2,0.17502339680989584,0.1875,0.0048
cifar100,ball,2919942_0,3,0.23961779536033162,0.22448979591836735,0.0098
