dataset,method,run_id,n_tasks,accuracy_all_avg,accuracy_final,accuracy_seen_avg,ace_all_avg,ace_final,ace_seen_avg,backward_transfer,brier_all_avg,brier_final,ece_final,ece_seen_avg,ece_all_avg,forward_transfer,sce_all_avg,sce_final,sce_seen_avg,asce_final,duration_s
cifar100,inflora,2,10,0.2591699957847595,0.3831000030040741,0.5549726486206055,0.009023715071185542,0.0004991527688503266,0.0005056591044033905,-0.433377742767334,0.9746458791357752,0.7703559676195703,0.03627583993077277,0.037134959186101484,0.2245402375458181,0.0,0.006754308738708498,0.0006852495727539062,0.0008981003984602669,0.0006845712127685545,1966.660087255761
cifar100,inflora,1,10,0.26315999031066895,0.38819998502731323,0.5606305599212646,0.009071058498680357,0.0009596904080659159,0.0005255491247622848,-0.42275550961494446,0.9700832074945701,0.7663620252260306,0.044209447121620164,0.0350522918232353,0.22286451073229313,0.0,0.0068255651565551755,0.0010250984954833986,0.0008803303773274498,0.0010333232269287107,1944.3222856190987
cifar100,inflora,0,10,0.2641700208187103,0.40139999985694885,0.559007465839386,0.009018673399922298,0.0004452651546299463,0.0004094413209774548,-0.4285111427307129,0.967991195148066,0.761052226502983,0.047048949646949764,0.029685323515082636,0.22038985691804439,0.0,0.006778418347167968,0.0008062841644287111,0.0007433731621969313,0.0008019370574951171,1985.7203697389923
cifar100,inflora,3,10,0.25960999727249146,0.36719995737075806,0.5593954920768738,0.009017139945393358,0.00043070053264498737,0.00044672553594927495,-0.4280666410923004,0.9715408521057496,0.7852882705921957,0.053734363162517534,0.03146110732018711,0.2216796744907647,0.0,0.0067928479934692395,0.000939911437988281,0.0008164292693910146,0.0009385559387207034,1936.7483769310638
cifar100,inflora,4,10,0.26050999760627747,0.39410001039505005,0.5575019121170044,0.00906474351520238,0.0008904722707718613,0.0005860617191163441,-0.43406668305397034,0.9716521091393562,0.7640107700209012,0.04123995691537857,0.03222122806002105,0.2185026467734575,0.0,0.006725771548461915,0.0009116431121826171,0.0008435486185104128,0.0009093627624511722,1980.2242248137482
cifar100,lora,2,10,0.1475299894809723,0.15160001814365387,0.38536351919174194,0.010242290287383205,0.005705783644586801,0.0022658524591976253,-0.7322222590446472,1.0967387310171444,1.0769900621812936,0.30335339736938477,0.1505798106628003,0.3143602646744624,0.0,0.008710077926635742,0.006519237274169921,0.003198589478380718,0.006522239959716797,1794.0302031282336
cifar100,lora,1,10,0.15568998456001282,0.14959999918937683,0.3995244801044464,0.01007931225265884,0.0056971091162860395,0.0020064369557175406,-0.7190222144126892,1.0914198374040769,1.0831862757933284,0.30744212503433227,0.14414246644232245,0.30996064849987626,0.0,0.008595038505554198,0.006424309661865234,0.002984194614210583,0.006416975585937502,1781.569467572961
cifar100,lora,0,10,0.14763998985290527,0.14429999887943268,0.3844740688800812,0.010151082642730302,0.005714602957069874,0.002028219271443167,-0.731333315372467,1.0957174917916208,1.080449978254033,0.28908226442337037,0.1463556087003601,0.3120504491084814,0.0,0.008553792845153807,0.006071394332885743,0.003015566611886403,0.0060672854614257825,1786.3083851151168
cifar100,lora,3,10,0.14799000322818756,0.14959999918937683,0.3878706395626068,0.010377066213366669,0.006063266629457474,0.0024538405560644277,-0.7342000603675842,1.0981886120154043,1.0693172026612248,0.2947913324832916,0.15098173868208414,0.3166966256203503,0.0,0.00880175146484375,0.006544951034545899,0.00321678428078606,0.0065425259246826165,1758.193061648868
cifar100,lora,4,10,0.15320999920368195,0.15530000627040863,0.3951258957386017,0.010068349872447598,0.005512461323797703,0.0018282122222213295,-0.7167333960533142,1.0890848294953799,1.0637517287042615,0.28863893790245054,0.14039595657706497,0.3092500472896546,0.0,0.008555825639343262,0.006255211456298827,0.0028897566614151,0.006258080352783203,1794.5502460640855
cifar100,rwalk,2,10,0.3252300024032593,0.5101000070571899,0.6548662781715393,0.009484593152794632,0.0015877297594232701,0.0006164913703025153,-0.1005111038684845,1.0210806523734548,0.7013992880433497,0.20706122888028622,0.1398634282878538,0.39039803112372756,0.0,0.009677906488037109,0.004328902557373047,0.002827381712370827,0.00432654052734375,3380.214156014845
cifar100,rwalk,1,10,0.319240003824234,0.5135999917984009,0.644589900970459,0.009587100528707912,0.001457932121367637,0.0007226176238378634,-0.09171111136674881,1.047491310033745,0.6939093174249249,0.19648795448541642,0.15698258766336573,0.41049681148082023,0.0,0.009977458871459961,0.00409766815185547,0.0031523093722812716,0.004092126281738282,3433.178520516958
cifar100,rwalk,0,10,0.3150600492954254,0.5069000124931335,0.6368818879127502,0.00947242718670172,0.0013441115577396412,0.0006402326545764607,-0.08340000361204147,1.0427186342563486,0.6851615751112495,0.1723199584007263,0.14939639980463754,0.3997340884795785,0.0,0.00974251524963379,0.003586248504638671,0.0029948690578521244,0.0035887000122070316,3431.915805015713
cifar100,rwalk,3,10,0.3253900408744812,0.5122000575065613,0.659192681312561,0.009437607037916433,0.0016170664011942852,0.000575434975398697,-0.11544445157051086,1.0141957268543722,0.6804258819199628,0.17369274989366532,0.12253868527554805,0.37834594929233195,0.0,0.00944938703918457,0.0036537211914062506,0.0024546177609844812,0.0036562429199218753,3432.6887687668204
cifar100,rwalk,4,10,0.3295300006866455,0.5121000409126282,0.6661185026168823,0.009410920871955542,0.0015024738904722665,0.0005333736557375479,-0.09315555542707443,1.0154628220071156,0.6879987475395416,0.20035192151069642,0.12647426438375242,0.3869147227038443,0.0,0.009578176733398436,0.004087807037353516,0.0025442062268552323,0.004082739715576172,3458.0097761373036
cifar100,sdlora,2,10,0.32130998373031616,0.5205999612808228,0.6419716477394104,0.00901789640297255,0.00019012302922597212,0.00011491937716468154,-0.1664888858795166,0.9375875835057446,0.6267347157884027,0.03633801538199186,0.0336245273213266,0.2628002996248007,0.0,0.0076986906494140635,0.0007278845520019531,0.0006392347426671831,0.0007321300659179689,2388.588430917822
cifar100,sdlora,1,10,0.32124000787734985,0.5184000730514526,0.6424102783203125,0.009016101243975342,0.00019192624549823882,0.00015721189364584183,-0.16511113941669464,0.9378785832100173,0.6213567764665675,0.040026516532897946,0.03383773303153968,0.26530028057664634,0.0,0.007733531246948244,0.0007912279357910157,0.0006449008360605392,0.0007784465332031253,2411.0747838779353
