dataset,method,run_id,task,accuracy_all,accuracy_seen,ace_all,ace_seen,brier_all,ece_all,ece_seen,sce_all,sce_seen
cifar100,ball,2,0,0.0946,0.946,0.017970661696115928,7.794635682461769e-07,1.4501569277512778,0.6365871253848076,0.019275471091270424,0.01676108724975586,0.00030162164211273166
cifar100,ball,2,1,0.16,0.8,0.015988515525674457,1.0125595135041963e-05,1.2471180079856208,0.4975211786270142,0.02872731882333757,0.014136000976562502,0.0004619985198974611
cifar100,ball,2,2,0.2148,0.716,0.013993221370290392,1.3576622130691605e-05,1.1145806637344677,0.4029125918388366,0.042386884458363056,0.011862955963134766,0.0007865121968587239
cifar100,ball,2,3,0.2641,0.66024995,0.0119986420216147,7.59901324444646e-05,1.0091818995899118,0.32041139302253724,0.03281165036559105,0.00969343392944336,0.0006055930709838867
cifar100,ball,2,4,0.31599998,0.63199997,0.010000735556026343,0.00010162249378951631,0.9363146700310132,0.27193769788742067,0.03932144057750703,0.00811586633300781,0.0007811085815429687
cifar100,ball,2,5,0.357,0.595,0.008003879415450993,0.00013571848717833362,0.8633873266142973,0.2200458971500397,0.04547351702054342,0.006452390411376952,0.0008466890207926433
cifar100,ball,2,6,0.39949998,0.5707143,0.006009500192175398,0.00014428918362830448,0.798596130088545,0.16605093784332275,0.0389218500682286,0.004783430572509765,0.0006834213256835938
cifar100,ball,2,7,0.43050003,0.53812504,0.0040342244413619855,0.00030124999867347466,0.7543075913985168,0.13353745794296265,0.046904012203216564,0.003494472869873048,0.0008848879623413082
cifar100,ball,2,8,0.48369998,0.5374444,0.0020052246253498885,0.00011841182460054525,0.6822860040347931,0.0684145956993103,0.03287189473046199,0.001643451446533203,0.0006008367580837678
cifar100,ball,2,9,0.52369994,0.52369994,0.00010204421781375889,0.00010204421781375889,0.6231036553186681,0.032728151478245864,0.032728151478245864,0.0006060337524414067,0.0006060337524414067
cifar100,ball,1,0,0.0952,0.952,0.017969483846360337,7.706854420229283e-07,1.4563720180357889,0.640896613562107,0.01411177065968511,0.016877591888427735,0.0003207165098190305
cifar100,ball,1,1,0.1587,0.7935,0.015980939902023067,2.077817141959595e-05,1.2584729415443288,0.5049470514535903,0.036878983959555627,0.014213559051513669,0.0005906308937072753
cifar100,ball,1,2,0.2164,0.7213333,0.013997953577375743,2.8465647102139064e-05,1.11927129633653,0.4083223505496979,0.041619551757971454,0.0119078662109375,0.0007936704508463541
cifar100,ball,1,3,0.264,0.66,0.012000472827890688,8.338502189447183e-05,1.0303607246694308,0.34145374395847317,0.045163106858730324,0.009934305633544924,0.0007843478012084962
cifar100,ball,1,4,0.31199998,0.62399995,0.010000327565177977,0.00010187050910076052,0.9555669980300557,0.29260134358406065,0.0489779849529266,0.008323393035888672,0.0009082660827636714
cifar100,ball,1,5,0.35579997,0.593,0.008007911196274897,0.0002144122880842349,0.8765988170290926,0.2326870111465454,0.05049998203913372,0.006708647216796874,0.000977676773071289
cifar100,ball,1,6,0.38709998,0.55300003,0.006003080530531274,0.00031682020350468385,0.8282719855248806,0.19810193562507628,0.06051847968782697,0.005109873443603516,0.0011194482421875004
cifar100,ball,1,7,0.4264,0.533,0.004010967537057129,0.00023320173094942237,0.7675137840561689,0.14487835683822634,0.05594327425956726,0.0035146590881347654,0.0010390351486206058
cifar100,ball,1,8,0.4684,0.52044445,0.0020126372435348458,4.351184928411306e-05,0.698767615748543,0.08579562950134278,0.051491013314988864,0.0018638706359863275,0.0009099860975477429
